surface,tourney_level,round,draw_size,tourney_date_epoch,player_A_name,player_B_name,player_A_hand,player_B_hand,player_A_age,player_B_age,age_diff,player_A_rank,player_B_rank,rank_diff,player_A_rank_points,player_B_rank_points,rank_points_diff
Hard,G,SF,128,1736640000,Jannik Sinner,Daniil Medvedev,R,R,23.4,28.9,-5.5,1,5,-4,11830,5030,6800
Hard,G,SF,128,1736640000,Alexander Zverev,Carlos Alcaraz,R,R,27.8,21.8,6,2,3,-1,7915,7010,905
